Id,CF_IOF_Word_Scores
256468,"{'receive': 0.0258, 'small': 0.0457, 'jar': 0.029, 'bali': 0.0, 'best': 0.0951, 'coffee': 0.1981, 'christmas': 0.0056, 'could': 0.0452, 'find': 0.179, 'store': 0.0669, 'amazon': 0.1079, 'offer': 0.0078, 'online': 0.0071, 'deal': 0.0124, 'item': 0.023, 'purchase': 0.0611, 'second': 0.0118, 'case': 0.0462, 'love': 0.2099}"
4074,"{'admit': 0.002, 'icicle': 0.0001, 'allow': 0.0021, 'plug': 0.0002, 'mic': 0.0002, 'xlr': 0.0003, 'jack': 0.0009, 'computer': 0.0004, 'use': 0.223, 'usb': 0.0003, 'indeed': 0.0011, 'provide': 0.0062, 'phantom': 0.0001, 'power': 0.0016, 'condenser': 0.0, 'mics': 0.0001, 'deliver': 0.0052, 'signal': 0.0, 'recording': 0.0001, 'software': 0.0, 'beyond': 0.001, 'usefulness': 0.0, 'depends': 0.0001, 'consider': 0.0077, 'acceptable': 0.0006, 'record': 0.0003, 'level': 0.0125, 'try': 0.4054, 'akg': 0.0, 'blue': 0.0112, 'encore': 0.0, 'nice': 0.0503, 'sound': 0.0083, 'conventional': 0.0002, 'chain': 0.0029, 'could': 0.0452, 'barely': 0.0016, 'get': 0.2242, 'audible': 0.0, 'yell': 0.0, 'staple': 0.0019, 'location': 0.0007, 'voice': 0.0001, 'normally': 0.0064, 'directly': 0.0016, 'digital': 0.0, 'audio': 0.0001, 'recorder': 0.0, 'cable': 0.0, 'preamp': 0.0001, 'eq': 0.0, 'good': 0.3202, 'clean': 0.0094, 'clear': 0.0056, 'near': 0.0085, 'peak': 0.0008, 'input': 0.0, 'one': 0.203, 'disappointing': 0.0009, 'product': 0.5975, 'route': 0.0002, 'put': 0.0333, 'decent': 0.0054, 'extra': 0.0165, 'equipment': 0.0004, 'light': 0.0158, 'weight': 0.0136, 'gadget': 0.0004, 'suppose': 0.0043, 'avoid': 0.0058, 'personally': 0.0022, 'think': 0.0729, 'might': 0.0152, 'well': 0.1196, 'channel': 0.0001, 'strip': 0.0049, 'mini': 0.0021, 'go': 0.1099, 'forget': 0.0014, 'altogether': 0.0003, 'make': 0.1968, 'great': 0.2048, 'know': 0.1252, 'combine': 0.0018, 'several': 0.0411, 'piece': 0.0177, 'box': 0.0631, 'typically': 0.0035, 'compressor': 0.0, 'high': 0.037, 'end': 0.0129, 'unit': 0.0013, 'add': 0.0918, 'capability': 0.0002, 'option': 0.0086}"
64194,"{'house': 0.0108, 'number': 0.0033, 'broken': 0.003, 'piece': 0.0177, 'repairable': 0.0, 'ice': 0.0315, 'enough': 0.0857, 'candy': 0.0274, 'really': 0.2677, 'decorate': 0.0003}"
160945,"{'wife': 0.0257, 'love': 0.2099, 'use': 0.223, 'mix': 0.0528, 'crockpot': 0.0, 'meal': 0.0179, 'try': 0.4054, 'others': 0.026, 'prefers': 0.0008, 'brand': 0.0518, 'whatever': 0.0031, 'reason': 0.0122, 'grocery': 0.0266, 'store': 0.0669, 'usually': 0.0385, 'frequent': 0.0016, 'long': 0.0304, 'stock': 0.0193, 'force': 0.0005, 'order': 0.0983, 'amazon': 0.1079, 'however': 0.0712, 'price': 0.0836, 'pay': 0.0129, 'pack': 0.0429, 'certainly': 0.0047, 'cheap': 0.0157, 'enough': 0.0857, 'last': 0.034, 'u': 0.0178, 'quite': 0.0216}"
103615,"{'reminds': 0.0005, 'fentimin': 0.0, 'curiosity': 0.0001, 'cola': 0.0018, 'botanical': 0.0, 'undertone': 0.0001, 'actually': 0.0227, 'like': 0.7999, 'much': 0.0965, 'expect': 0.0452, 'coke': 0.0024, 'disappoint': 0.0065, 'try': 0.4054, 'open': 0.0221, 'mind': 0.0063}"
553833,"{'nice': 0.0503, 'bold': 0.0146, 'full': 0.0221, 'body': 0.0094, 'astringent': 0.0, 'flavor': 0.2356, 'every': 0.0373, 'morning': 0.0182, 'make': 0.1968, 'two': 0.0435, 'pot': 0.0051, 'coffee': 0.1981, 'french': 0.0059, 'press': 0.0021, 'style': 0.0102, 'love': 0.2099, 'new': 0.0219, 'bag': 0.0715, 'bean': 0.0194, 'open': 0.0221, 'first': 0.1699, 'time': 0.2712, 'smell': 0.0282, 'wow': 0.0026, 'imagine': 0.0026, 'like': 0.7999, 'roast': 0.0167, 'facility': 0.0001}"
501226,"{'love': 0.2099, 'cooky': 0.019, 'last': 0.034, 'order': 0.0983, 'find': 0.179, 'five': 0.0059, 'bag': 0.0715, 'open': 0.0221, 'due': 0.0067, 'time': 0.2712, 'live': 0.0285, 'ate': 0.0115, 'pkgs': 0.0, 'still': 0.041, 'seal': 0.0058, 'would': 0.139, 'think': 0.0729, 'company': 0.0186, 'make': 0.1968, 'sure': 0.0294, 'send': 0.0098, 'customer': 0.0174, 'also': 0.085, 'taste': 0.8609, 'old': 0.0296, 'fresh': 0.0305, 'another': 0.0243, 'let': 0.0146}"
27534,"{'sent': 0.0023, 'grandmother': 0.0004, '100th': 0.0, 'birthday': 0.0013, 'love': 0.2099, 'chocolate': 0.0677, 'kiss': 0.0002, 'happy': 0.0647, 'big': 0.0276, 'surprise': 0.008, 'unique': 0.0061, 'item': 0.023, 'give': 0.0822, 'gift': 0.0399, 'highly': 0.0187, 'recommend': 0.0587}"
84910,"{'regular': 0.0268, 'popcorn': 0.0072, 'shred': 0.0006, 'gum': 0.0116, 'get': 0.2242, 'stuck': 0.0006, 'deep': 0.0021, 'dream': 0.0008, 'easy': 0.0383, 'nothing': 0.0131, 'stick': 0.0149, 'like': 0.7999, 'put': 0.0333, 'cup': 0.0766, 'kernel': 0.001, 'paper': 0.0019, 'lunch': 0.0067, 'bag': 0.0715, 'microwave': 0.0047, 'flavor': 0.2356, 'fantastic': 0.0072, 'without': 0.0332, 'add': 0.0918, 'anything': 0.0238, 'never': 0.1027, 'buy': 0.1414}"
101393,"{'hull': 0.0002, 'popcorn': 0.0072, 'ever': 0.0301, 'use': 0.223, 'find': 0.179, 'tough': 0.0011, 'couple': 0.0159, 'bite': 0.0106, 'end': 0.0129, 'throw': 0.0144, 'amazon': 0.1079, 'give': 0.0822, 'full': 0.0221, 'refund': 0.0023, 'would': 0.139, 'five': 0.0059, 'star': 0.0243, 'service': 0.0156}"
