Id,Final_Scores
256468,"{'best': 2.1051, 'case': 2.095, 'receive': 2.0717, 'purchase': 1.0556}"
4074,"{'mic': 6.166, 'level': 5.139, 'preamp': 5.1378}"
64194,"{'house': 3.1311, 'really': 1.085, 'enough': 1.0825}"
160945,"{'price': 2.0822, 'brand': 2.0818}"
103615,"{'reminds': 2.0801, 'like': 1.0728}"
553833,{'nice': 2.0658}
501226,{'cooky': 3.1065}
27534,"{'sent': 2.0782, 'love': 1.0643}"
84910,"{'popcorn': 3.1093, 'regular': 3.1011}"
101393,{'give': 2.1068}
460208,{'roctane': 3.1117}
62897,"{'bar': 3.1029, 'taste': 2.0773}"
555266,"{'great': 2.0948, 'like': 1.0901}"
42133,"{'order': 3.1416, 'use': 1.0688}"
224118,"{'toy': 2.0899, 'great': 2.0892, 'get': 2.0886, 'dog': 2.0869, 'really': 2.0686}"
373993,"{'oil': 4.0967, 'price': 3.0765, 'amazon': 3.0741, 'store': 3.0724, 'organic': 3.0724}"
13955,"{'bag': 4.1588, 'hand': 3.1134}"
26331,"{'pasta': 6.1871, 'box': 3.0941, 'one': 2.0666, 'find': 2.0656, 'family': 2.0646, 'dish': 2.0644}"
130848,"{'food': 5.1382, 'cat': 5.1361, 'feast': 3.0813, 'get': 2.0587, 'one': 2.0574}"
549057,"{'coconut': 7.2085, 'food': 4.1221}"
276114,"{'make': 5.1646, 'water': 4.1297, 'use': 2.0698}"
31297,"{'side': 3.1198, 'attiki': 2.1132, 'honey': 2.1044}"
78876,{'bottle': 2.0839}
531070,{'longer': 2.0783}
203751,"{'coffee': 2.1069, 'get': 2.1032, 'store': 2.1015, 'love': 2.0749}"
479819,"{'get': 3.1028, 'treat': 3.1019, 'cat': 3.0902}"
236072,"{'powerful': 2.0688, 'like': 1.0583, 'try': 1.0541}"
136256,"{'love': 3.153, 'people': 1.0798}"
6941,"{'like': 8.2264, 'drink': 8.2247, 'taste': 7.2044, 'sweet': 5.1404, 'juice': 5.1396, 'carbonate': 5.1386}"
39468,"{'lot': 3.1106, 'flavor': 2.0791, 'decaf': 2.0771, 'title': 2.0607, 'taste': 1.0489}"
72258,"{'taste': 2.1202, 'beet': 2.0888}"
221798,{'favorite': 4.1638}
17121,{'receive': 2.1079}
5800,"{'universally': 2.1109, 'eat': 1.1079}"
262911,{'really': 2.0882}
349187,"{'sugar': 2.0777, 'ordered': 2.062, 'taste': 1.0508, 'like': 1.0503, 'product': 1.0466, 'use': 1.0434}"
380680,"{'problem': 3.0493, 'cat': 3.0426, 'think': 2.0261, 'carton': 2.0257}"
118335,"{'hair': 10.2778, 'color': 6.167, 'since': 5.1398}"
18232,"{'nut': 2.0703, 'great': 1.053}"
177307,"{'couple': 3.0964, 'candy': 2.0754}"
256464,"{'papaya': 3.0939, 'many': 3.0926, 'taste': 2.0732, 'find': 2.0656, 'tea': 2.0653, 'take': 2.0642, 'kind': 2.0638, 'say': 2.0636}"
7032,"{'use': 4.1341, 'cup': 3.1017, 'coffee': 2.0684, 'one': 2.0678, 'store': 2.0673}"
157271,{'natural': 4.1393}
112249,"{'pasta': 2.0891, 'absolutely': 2.0735}"
196318,"{'get': 2.0501, 'handicap': 2.0472}"
375841,"{'receipe': 2.1271, 'love': 2.0841}"
467827,"{'good': 3.1221, 'taste': 2.0883}"
96750,"{'receive': 2.0804, 'good': 1.0694, 'try': 1.0686, 'coffee': 1.068, 'one': 1.0666, 'maker': 1.065, 'favorites': 1.0649}"
554919,"{'fat': 3.0965, 'mix': 3.0964, 'white': 3.0944}"
432737,"{'outstanding': 2.0973, 'change': 1.0889, 'dill': 1.0884, 'look': 1.088}"
205788,"{'cereal': 2.0846, 'love': 2.0734}"
434511,"{'coffee': 3.1343, 'consumer': 2.1047}"
177817,"{'pack': 4.1749, 'bar': 3.1358, 'say': 2.0941, 'description': 2.0685, 'like': 1.0614, 'try': 1.0581}"
170320,"{'ginger': 4.1387, 'get': 3.0991, 'chew': 2.0709}"
181593,"{'try': 3.1155, 'flavor': 2.0842, 'best': 2.0825, 'subscribe': 2.0625}"
342648,"{'noodle': 2.0741, 'cook': 2.0728, 'look': 2.0603}"
80486,"{'make': 3.0933, 'drink': 3.0916}"
452143,"{'coffee': 4.1928, 'great': 2.099}"
154205,{'dirty': 3.1034}
77267,"{'food': 3.0926, 'dog': 2.0618, 'look': 2.0538}"
164947,"{'flavor': 5.1512, 'roll': 3.0915, 'tootsie': 3.0913, 'like': 2.0713, 'tang': 2.0626}"
471993,"{'food': 3.0982, 'cat': 3.0952}"
363150,"{'tea': 4.15, 'machine': 2.0796}"
562062,"{'basket': 2.0762, 'really': 1.0629}"
95466,"{'noodle': 6.1643, 'taste': 3.0931, 'buy': 3.0805, 'great': 2.0582}"
115379,"{'flower': 2.0801, 'delivery': 1.0658}"
339826,{'product': 2.1281}
410690,"{'eat': 3.1164, 'hair': 2.0817, 'food': 2.0812}"
30155,"{'wheat': 2.0912, 'egg': 2.0855, 'yum': 2.0827}"
394320,"{'fudge': 3.1313, 'fudgies': 2.0671, 'taste': 1.0562, 'time': 1.0496, 'bring': 1.049}"
126430,"{'flavor': 3.1082, 'use': 2.0823}"
56832,{'flavor': 4.1539}
181528,"{'happy': 2.0893, 'taste': 1.0851, 'good': 1.0795, 'tea': 1.0779}"
218220,"{'tea': 3.1316, 'like': 2.1179, 'product': 2.1154, 'add': 2.1058}"
195093,"{'cold': 2.1233, 'hot': 2.1177, 'cup': 2.1084, 'great': 2.087}"
86019,"{'spicy': 2.0802, 'one': 1.0681, 'highly': 1.066}"
230982,{'stuff': 2.081}
30460,"{'love': 3.1065, 'make': 2.086, 'ever': 2.0846, 'use': 2.0842}"
61508,{'ingredient': 2.1218}
318384,{'product': 3.1095}
190845,{'water': 3.1183}
241002,"{'issue': 2.1272, 'stomach': 2.0818}"
274614,"{'order': 4.1354, 'mr': 4.1323, 'joel': 4.1296}"
317812,"{'taste': 2.0799, 'sugar': 2.0727, 'cup': 2.0724, 'apple': 2.0714}"
559015,{'disappointing': 2.111}
516792,"{'return': 3.1113, 'chocolate': 3.1097, 'bad': 3.1087, 'like': 2.0821, 'amazon': 2.0746, 'cote': 2.0596}"
98952,"{'product': 2.0702, 'go': 2.0673}"
475357,"{'coffee': 4.1903, 'purchase': 2.0998}"
285902,"{'taste': 3.0971, 'flavor': 3.0887, 'product': 2.064, 'coffee': 2.0606, 'price': 2.0598, 'sweet': 2.0583, 'make': 2.0544, 'good': 1.0332}"
331607,"{'chocolate': 3.0947, 'sugar': 3.0913}"
415748,"{'breakfast': 3.144, 'make': 3.1167}"
322484,"{'try': 2.1515, 'flavor': 2.0951}"
418976,"{'tasty': 2.098, 'love': 2.0974, 'really': 2.0709, 'like': 1.0589}"
230132,"{'tea': 5.1684, 'flavor': 2.0691}"
524128,"{'sugar': 5.1483, 'snack': 3.0916}"
554187,"{'try': 2.0846, 'spit': 2.08}"
518482,"{'coffee': 5.149, 'cdm': 3.0882, 'use': 2.0619}"
477190,"{'tea': 4.1649, 'amazon': 2.0818}"
244724,"{'chicken': 4.1416, 'local': 2.0737, 'real': 2.071, 'vegetarian': 2.0703}"
231964,{'delicious': 2.1037}
249640,{'gross': 4.1314}
258485,"{'flour': 2.1241, 'wheat': 2.1193}"
408616,"{'bread': 2.1336, 'never': 2.0833, 'like': 1.0764}"
220251,"{'yummy': 2.0783, 'good': 1.0669}"
125530,"{'jar': 4.1382, 'shipment': 3.0911, 'product': 2.0752, 'seller': 2.0692, 'one': 1.0373, 'buy': 1.0369, 'would': 1.0369}"
362427,{'ritter': 2.0751}
269384,"{'halvah': 6.1862, 'time': 3.0957, 'joyva': 3.0935, 'year': 3.0885, 'one': 2.0653}"
306747,"{'andes': 2.0925, 'return': 1.0822, 'show': 1.0822}"
346528,"{'pack': 3.1119, 'organic': 2.076, 'tape': 2.0755, 'six': 2.0752}"
40461,"{'treat': 3.103, 'good': 2.0728, 'food': 2.0702}"
264640,"{'nice': 2.0978, 'would': 1.09, 'package': 1.0889, 'come': 1.088}"
431962,"{'butter': 2.0969, 'love': 2.0952}"
138898,"{'absolutely': 2.1127, 'buy': 2.0783}"
382654,"{'whole': 6.179, 'bread': 6.179, 'wheat': 6.1788, 'grain': 3.089}"
73619,"{'snap': 3.0936, 'store': 2.0629, 'local': 2.0627}"
240825,{'expensive': 2.1112}
367840,"{'order': 2.0847, 'overall': 2.0645, 'product': 1.0518, 'great': 1.0466}"
220083,"{'yard': 3.0888, 'charger': 2.0622}"
427648,{'sprout': 3.1638}
21123,"{'dog': 2.1268, 'order': 2.0844}"
89427,"{'soda': 3.0962, 'flavor': 2.0672, 'get': 2.0672, 'size': 2.0651}"
146203,"{'coffee': 12.3231, 'cup': 12.3201, 'caff': 9.2377, 'half': 9.2377}"
97248,{'love': 2.1085}
358484,"{'taste': 2.0866, 'like': 2.0855}"
83513,"{'coffee': 4.1592, 'think': 2.083, 'pod': 2.0827, 'first': 2.0824, 'cup': 2.082, 'love': 2.0642}"
453839,"{'flour': 6.1908, 'rice': 5.1589, 'free': 2.0678, 'recipe': 2.0671}"
293424,"{'one': 3.0936, 'product': 2.0774, 'cooky': 2.0709, 'like': 1.045, 'flavor': 1.0389, 'get': 1.0388}"
43075,{'sausage': 3.1224}
85750,"{'dog': 10.2945, 'food': 7.2087, 'time': 3.092}"
136730,"{'cheese': 3.0924, 'product': 2.0695, 'really': 2.0652}"
256880,"{'cat': 2.0813, 'store': 2.0813}"
435019,"{'get': 3.1109, 'popcorn': 2.0895}"
528762,"{'taste': 2.0758, 'flavor': 2.0689}"
185091,"{'bread': 2.1027, 'try': 2.0759}"
119299,"{'yeast': 5.1631, 'get': 2.0704, 'good': 2.0699}"
375496,"{'tea': 3.1963, 'order': 2.0875, 'try': 1.0796, 'since': 1.0747}"
567583,"{'tea': 3.1062, 'order': 2.0858, 'find': 2.0825, 'taste': 1.0526}"
40674,"{'buy': 3.0955, 'love': 2.073, 'anyone': 2.0727}"
506756,"{'bean': 3.0938, 'use': 3.0935}"
44694,"{'almond': 4.1395, 'chocolate': 3.1154}"
133110,"{'coffee': 5.1797, 'maybe': 3.1052}"
371213,{'taste': 3.1157}
462607,"{'order': 4.1278, 'buy': 2.0654, 'amazon': 2.0649, 'tea': 2.0648, 'shipping': 2.0647}"
454332,"{'glucotest': 4.1379, 'cat': 3.1227, 'product': 3.1118}"
331709,"{'decaf': 7.2051, 'pod': 7.2038}"
360482,"{'one': 2.0875, 'taste': 1.0807, 'flavor': 1.0733}"
360409,"{'drink': 4.1317, 'flower': 4.1291, 'syrup': 4.1288, 'color': 3.0988}"
387334,"{'peanut': 2.0898, 'redskin': 2.0869, 'love': 2.0682, 'really': 1.0505, 'flavor': 1.0495, 'another': 1.0492}"
170378,{'taste': 2.0907}
489552,"{'fan': 2.071, 'good': 1.0573, 'flavor': 1.0548, 'best': 1.0548}"
358346,{'order': 2.1395}
84868,"{'candy': 2.0829, 'good': 1.0717, 'find': 1.071, 'remember': 1.0691}"
4314,"{'product': 11.313, 'box': 5.1412, 'would': 4.116, 'price': 3.0865, 'per': 3.0854, 'mill': 3.0844, 'however': 2.0582}"
519312,"{'get': 4.1174, 'make': 3.0958, 'mint': 3.093, 'square': 3.0928, 'year': 3.0926}"
557970,"{'cake': 2.0976, 'chocolate': 2.0694}"
252856,"{'day': 3.1187, 'cut': 2.0631, 'product': 1.0488}"
136345,"{'cup': 3.1482, 'good': 2.1073}"
406328,"{'use': 5.1613, 'flavor': 4.1239, 'buy': 4.1181, 'food': 3.0969}"
133838,"{'tea': 5.1795, 'love': 3.0984}"
344805,"{'mint': 4.1312, 'fruit': 4.1271, 'cinnamon': 3.0988, 'make': 2.0744}"
36339,{'use': 3.1158}
263126,"{'sprout': 4.1487, 'grow': 3.1121}"
154751,"{'izze': 3.1111, 'love': 2.0737, 'whole': 2.0594}"
2255,"{'amazon': 2.0647, 'purchase': 2.0544}"
1280,"{'snack': 2.0829, 'feed': 2.0828}"
429608,"{'heat': 3.1237, 'spicy': 2.0892, 'nice': 2.0885}"
525911,"{'chocolate': 4.1288, 'specie': 2.0663, 'treat': 2.0658, 'perfect': 2.0657}"
381102,"{'find': 2.114, 'grow': 2.077, 'talk': 1.0619}"
518707,"{'food': 3.1182, 'cat': 3.1006}"
237527,"{'food': 4.1515, 'dog': 3.0977, 'much': 1.0398}"
468664,"{'say': 2.1107, 'christmas': 2.0791}"
225711,{'coffee': 3.1104}
75839,"{'product': 3.1077, 'drink': 3.1003, 'like': 2.0733, 'try': 2.0708}"
294234,{'love': 2.0723}
237769,"{'sugar': 2.1088, 'dr': 2.0735}"
153719,"{'oil': 3.0732, 'nice': 2.0506, 'brand': 2.0503, 'sardines': 2.0495, 'open': 2.0494}"
183182,"{'last': 2.098, 'well': 2.07, 'get': 1.0541}"
166067,"{'product': 2.1039, 'would': 1.0889, 'embarrass': 1.0884, 'dis': 1.0884, 'form': 1.0874}"
26431,"{'like': 5.2032, 'pepper': 3.1173}"
563259,"{'one': 2.0915, 'try': 2.0714}"
290750,"{'water': 4.1534, 'really': 3.126, 'bottle': 2.0857}"
330160,{'good': 2.0887}
225475,{'product': 2.1177}
240946,"{'cholesterol': 3.1136, 'daughter': 2.0764}"
289026,"{'medifast': 3.1316, 'good': 2.0936}"
103163,{'taste': 2.112}
70969,"{'product': 2.1171, 'usual': 2.0736, 'great': 1.0593, 'love': 1.058, 'cup': 1.0568}"
152104,"{'use': 3.1352, 'spice': 2.1127}"
311071,"{'jerky': 4.1721, 'family': 2.0868, 'great': 2.0839}"
430102,"{'rip': 2.0739, 'bag': 2.073, 'tear': 2.0726}"
59128,"{'one': 2.0947, 'taste': 1.0902}"
306091,"{'chip': 2.0818, 'mixed': 2.0799, 'package': 2.0635, 'taste': 1.0524}"
91611,"{'tea': 9.2494, 'drink': 7.1943}"
345591,"{'tell': 2.1, 'purchase': 2.0707}"
71841,"{'shampoo': 9.2561, 'hair': 7.1995}"
292154,"{'honey': 2.1045, 'good': 2.1006, 'product': 2.0775}"
12041,"{'season': 2.128, 'great': 2.1255}"
340497,"{'coffee': 2.1122, 'tast': 2.11}"
441612,"{'reason': 2.0926, 'store': 1.0828, 'delicious': 1.0826}"
263608,"{'tea': 2.1233, 'little': 1.1221, 'package': 1.1215, 'perfect': 1.1208, 'delicious': 1.1097}"
311103,"{'jerky': 2.0622, 'like': 1.0501, 'good': 1.0458}"
522091,{'daughter': 2.0593}
426939,{'diabetes': 3.1212}
338686,"{'amazon': 3.116, 'month': 2.0939}"
71374,"{'hair': 9.2656, 'wash': 5.152}"
433825,"{'fresh': 2.1035, 'want': 2.0747}"
467904,"{'tea': 3.1156, 'bit': 2.0777, 'bag': 2.0757, 'container': 2.0749, 'one': 2.0744, 'round': 2.0729, 'prefer': 2.0724}"
526463,"{'like': 2.12, 'product': 1.1127, 'eat': 1.1079}"
99598,"{'good': 2.1063, 'great': 2.1062, 'almond': 2.1036}"
151370,"{'cracker': 3.2102, 'great': 3.1426}"
478245,"{'soup': 4.1338, 'tomato': 2.0765, 'taste': 1.0509}"
289910,{'nice': 2.1025}
45877,{'like': 3.1253}
339363,"{'mix': 3.0981, 'overall': 2.066}"
137527,"{'good': 3.1102, 'melitta': 3.099, 'coffee': 2.0739, 'yuban': 2.0716, 'order': 2.0705}"
463912,"{'love': 3.1456, 'pleasantly': 2.0692, 'taste': 1.0609}"
400419,"{'tea': 2.0782, 'try': 1.0634}"
543265,{'coffee': 2.0931}
41484,"{'love': 3.1428, 'dog': 2.068}"
28967,{'bread': 5.1795}
112863,"{'product': 2.0992, 'cleanse': 1.0821}"
205161,"{'bag': 7.2249, 'grocery': 5.1677, 'use': 2.0715}"
129224,{'small': 3.144}
498981,"{'small': 2.0966, 'one': 2.0957}"
171739,"{'box': 2.095, 'around': 2.0948, 'cereal': 2.0695}"
185856,{'get': 2.1015}
170883,{'kid': 3.118}
563875,"{'like': 3.1061, 'would': 3.0999}"
95005,"{'tea': 4.162, 'use': 3.1066, 'recommend': 2.0852}"
22016,"{'rope': 2.0781, 'one': 2.0636, 'like': 1.0488}"
239790,"{'flour': 3.1134, 'taste': 2.0928}"
401138,"{'quite': 2.1112, 'mix': 1.1075}"
281591,"{'hair': 8.2595, 'dry': 5.1568, 'try': 2.0704}"
34414,"{'biscuit': 2.1582, 'dog': 1.1736}"
314930,"{'pretzel': 2.1112, 'well': 2.105}"
96508,{'buy': 2.0689}
13089,"{'dark': 6.1854, 'coffee': 4.1312, 'roast': 4.1247, 'great': 3.0983, 'make': 2.0672}"
228560,"{'cup': 2.0674, 'love': 1.0491, 'coffee': 1.0491, 'great': 1.0487}"
50872,"{'coffee': 2.0883, 'first': 2.0654}"
34539,"{'taste': 2.1224, 'like': 2.1222}"
254658,"{'coffee': 2.1176, 'spice': 2.1161, 'pumpkin': 2.1154}"
408969,"{'essential': 2.1213, 'family': 1.1213, 'spinachwe': 1.121}"
60929,"{'like': 2.1325, 'great': 2.0859}"
213387,"{'product': 2.0967, 'food': 2.0868}"
399967,"{'drink': 7.2163, 'coffee': 4.1312}"
253379,"{'taco': 3.0884, 'spicy': 3.0881, 'food': 3.0865, 'taste': 2.0693}"
110700,"{'good': 2.1443, 'may': 2.0862, 'like': 1.08, 'much': 1.0745}"
45477,"{'bread': 2.1362, 'pleased': 2.0858, 'like': 1.0803}"
154991,"{'cat': 3.117, 'get': 2.1032, 'eat': 2.0965}"
533133,"{'tea': 3.0986, 'try': 2.0692}"
419851,"{'system': 4.1352, 'sensitive': 4.1338}"
30240,"{'gluten': 3.1063, 'make': 2.091}"
462878,"{'try': 4.1385, 'add': 3.1155}"
133333,"{'coffee': 5.1595, 'taste': 3.1031}"
563302,"{'kid': 2.0877, 'quick': 2.066, 'taste': 1.0554}"
467457,"{'cracker': 13.3741, 'taste': 6.1767, 'like': 4.1182, 'box': 4.1176}"
387148,"{'fabulous': 2.0972, 'taste': 1.0981, 'buy': 1.09}"
142716,"{'best': 3.1332, 'try': 1.0639, 'free': 1.0624}"
309924,"{'taste': 2.1106, 'whole': 2.0981}"
444403,"{'taste': 2.0738, 'good': 2.0687}"
121660,"{'like': 2.1145, 'cat': 2.0741, 'big': 1.0583}"
153225,"{'want': 2.0668, 'enough': 2.066}"
518542,"{'use': 2.1246, 'problem': 2.096, 'product': 2.0857}"
160702,"{'dog': 4.1557, 'product': 2.109, 'love': 2.0936, 'win': 2.074}"
136393,"{'set': 4.1256, 'brew': 4.1233, 'strong': 4.1231}"
36414,{'oil': 2.0901}
507198,"{'syrup': 2.0862, 'sno': 2.0635}"
335448,"{'like': 3.116, 'syrup': 3.1052}"
214798,"{'formula': 7.1807, 'year': 6.1557, 'fr': 6.1557, 'frs': 6.1551, 'well': 5.1297, 'sucralose': 5.129}"
388893,"{'know': 4.1894, 'would': 2.1166, 'love': 1.0627, 'best': 1.0621}"
43653,{'favorite': 2.0929}
236852,"{'product': 3.0938, 'buy': 3.0872}"
236720,"{'hour': 2.0931, 'sprinkle': 2.0676, 'top': 1.0497, 'little': 1.0496, 'bit': 1.0494}"
49065,"{'tea': 2.0992, 'like': 1.0959}"
61930,"{'mayonnaise': 3.1056, 'first': 3.0957}"
321800,"{'cola': 4.1852, 'like': 3.1512, 'root': 2.0932, 'beer': 2.0894, 'try': 2.0732, 'get': 1.0553}"
515527,"{'spray': 4.1274, 'catnip': 4.1266, 'take': 3.0968}"
504223,"{'taste': 3.1121, 'coffee': 3.1008, 'starbucks': 3.0933, 'drink': 2.0721}"
310851,"{'taste': 2.1121, 'review': 2.0711, 'rice': 1.0547}"
339604,"{'food': 21.5345, 'cat': 13.3316, 'pet': 13.331, 'bag': 10.2562, 'dog': 8.2043, 'buy': 7.1806}"
92587,"{'bag': 3.1095, 'good': 3.1094}"
515103,"{'coffee': 6.1774, 'good': 3.0919}"
33007,{'healthy': 2.0805}
36372,"{'make': 3.1519, 'chocolate': 2.1329, 'fast': 2.1253}"
422680,"{'dark': 2.0854, 'one': 1.0739}"
71440,"{'bike': 2.0882, 'use': 2.0676, 'product': 1.0502, 'could': 1.0467}"
21625,"{'love': 3.1326, 'kind': 2.1098}"
399088,"{'flavor': 2.0899, 'wonderful': 2.0869, 'use': 2.0676}"
18313,{'get': 3.1121}
416645,"{'taste': 2.0845, 'try': 2.0791, 'make': 2.077}"
250178,"{'tea': 3.1619, 'love': 2.0788, 'worth': 1.0636}"
192889,"{'bulldog': 3.1035, 'american': 3.1006, 'dog': 3.0934}"
10794,"{'taste': 2.1305, 'wonderful': 2.0791}"
497606,{'would': 2.1206}
156001,"{'color': 8.2459, 'tic': 6.178, 'orange': 5.155, 'tacs': 3.0939, 'flavor': 2.0668}"
187882,"{'well': 2.1187, 'son': 2.0813}"
