Id,Similar_Nouns
256468,"[('coffee', 0.5149293216837122)]"
4074,[]
64194,[]
160945,"[('meal', 0.5870303326567043), ('grocery', 0.5580467641635928)]"
103615,[]
553833,"[('flavor', 0.4170213068048639), ('coffee', 0.5149293216837122)]"
501226,"[('taste', 0.44171644906200236)]"
27534,"[('chocolate', 0.4372298686781058)]"
84910,[]
101393,[]
460208,"[('flavor', 0.4170213068048639)]"
62897,"[('taste', 0.44171644906200236), ('chocolate', 0.4372298686781058), ('taste', 0.44171644906200236), ('diet', 0.4633614050995177), ('food', 1.0)]"
555266,"[('coffee', 0.5149293216837122)]"
42133,"[('millet', 0.43992532926219513)]"
224118,[]
373993,"[('canola', 0.4219047297000621), ('specialty', 0.45591955402933754)]"
13955,"[('eat', 0.436267431730103), ('beef', 0.4531297604587793), ('snack', 0.5345618016662753), ('food', 1.0), ('flavor', 0.4170213068048639)]"
26331,"[('pasta', 0.47385021044293485), ('meal', 0.5870303326567043), ('taste', 0.44171644906200236), ('rice', 0.502908458255061), ('pasta', 0.47385021044293485), ('corn', 0.4219047297000621), ('pasta', 0.47385021044293485), ('pasta', 0.47385021044293485), ('dish', 0.43078554450547313), ('pasta', 0.47385021044293485), ('pasta', 0.47385021044293485), ('ingredient', 0.4985767690850275)]"
130848,"[('food', 1.0), ('ingredient', 0.4985767690850275), ('food', 1.0), ('eat', 0.436267431730103), ('food', 1.0), ('food', 1.0), ('food', 1.0), ('gourmet', 0.4728277470961251), ('chicken', 0.471460544905692), ('eater', 0.5609087883834228), ('flavor', 0.4170213068048639)]"
549057,"[('food', 1.0), ('coconut', 0.4120167342395654), ('coconut', 0.4120167342395654), ('eat', 0.436267431730103), ('veggie', 0.4988461285784848), ('food', 1.0), ('breakfast', 0.5167373461515301), ('food', 1.0), ('coconut', 0.4120167342395654), ('coconut', 0.4120167342395654), ('coconut', 0.4120167342395654), ('flavor', 0.4170213068048639), ('coconut', 0.4120167342395654), ('food', 1.0)]"
276114,"[('meal', 0.5870303326567043), ('water', 0.43853471357412066), ('water', 0.43853471357412066), ('water', 0.43853471357412066), ('water', 0.43853471357412066), ('milk', 0.5008447678701654), ('chicken', 0.471460544905692), ('shrimp', 0.40706298152136683), ('scallop', 0.40706298152136683)]"
31297,"[('taste', 0.44171644906200236), ('honey', 0.41577682287953666), ('honey', 0.41577682287953666), ('yogurt', 0.46615437499021933)]"
78876,"[('water', 0.43853471357412066), ('restaurant', 0.5310369754597499), ('water', 0.43853471357412066), ('flavor', 0.4170213068048639), ('flavor', 0.4170213068048639)]"
531070,"[('coffee', 0.5149293216837122), ('taste', 0.44171644906200236), ('water', 0.43853471357412066)]"
203751,"[('coffee', 0.5149293216837122), ('coffee', 0.5149293216837122)]"
479819,"[('food', 1.0), ('medicine', 0.40572436089182895), ('eat', 0.436267431730103), ('food', 1.0), ('medicine', 0.40572436089182895)]"
236072,[]
136256,[]
